"TIME";"GEO";"WST_OPER";"UNIT";"Value";"Flag and Footnotes"
2015.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2014.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2013.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2012.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2011.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2010.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2009.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2008.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2007.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2006.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
2005.0;"Czech Republic";"Incineration / disposal (D10)";"Kilograms per capita";"0";"e"
